step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
49,"[ 0.         -0.23214286 -0.00286841  0.          0.          0.
 -1.        ]",[ 0.02933013 -0.07120168  1.01226097],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
50,"[ 0.         -0.23928571 -0.00365128  0.          0.          0.
 -1.        ]",[ 0.02969615 -0.07421886  1.01249669],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
51,"[ 0.         -0.25       -0.00435847  0.          0.          0.
 -1.        ]",[ 0.02995441 -0.07731829  1.01265957],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
52,"[ 0.         -0.25178571 -0.00484708  0.          0.          0.
 -1.        ]",[ 0.03011824 -0.08047107  1.01274035],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
53,"[ 0.         -0.25892857 -0.00508943  0.          0.          0.
 -1.        ]",[ 0.03019229 -0.08367734  1.01275225],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
54,"[ 0.         -0.26071429 -0.00512513  0.          0.          0.
 -1.        ]",[ 0.03020876 -0.08693201  1.01272202],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
55,"[-0.0125     -0.25714286 -0.00503446  0.          0.          0.
 -1.        ]",[ 0.03012966 -0.09019498  1.01266926],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
56,"[-0.00535714 -0.26964286 -0.00487616  0.          0.          0.
 -1.        ]",[ 0.02999811 -0.0935235   1.01259858],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
57,"[-0.0125     -0.26785714 -0.00466413  0.          0.          0.
 -1.        ]",[ 0.02982451 -0.09689976  1.01250717],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
58,"[-0.03214286 -0.26428571 -0.00438988  0.          0.          0.
 -1.        ]",[ 0.02950295 -0.10027064  1.01241882],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
59,"[-0.04642857 -0.25357143 -0.00412484  0.          0.          0.
 -1.        ]",[ 0.02901139 -0.1035857   1.01236464],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
60,"[-0.05178571 -0.24821429 -0.00396232  0.          0.          0.
 -1.        ]",[ 0.02843227 -0.10684189  1.01234724],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
61,"[-0.05714286 -0.25714286 -0.00391011  0.          0.          0.
 -1.        ]",[ 0.02779994 -0.11012272  1.0123332 ],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
62,"[-0.04821429 -0.26071429 -0.00386798  0.          0.          0.
 -1.        ]",[ 0.02717656 -0.11344631  1.01231846],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
63,"[-0.02142857 -0.29464286 -0.00382377  0.          0.          0.
 -1.        ]",[ 0.02666763 -0.116951    1.01225456],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
