step,action,eef_pos,good,target_pos,in_target
169,[ 0.05194787 -0.3         0.         -1.        ],[-0.15333381 -0.1754617 ],True,[-0.1421367  -0.23584676],False
170,[ 0.05194787 -0.3         0.         -1.        ],[-0.15274216 -0.17936472],True,[-0.1421367  -0.23584676],False
171,[ 0.05194787 -0.3         0.         -1.        ],[-0.15215461 -0.18326182],True,[-0.1421367  -0.23584676],False
172,[ 0.05194787 -0.3         0.         -1.        ],[-0.1515696  -0.18715243],True,[-0.1421367  -0.23584676],True
173,[ 0.05194787 -0.3         0.         -1.        ],[-0.15098568 -0.19103685],True,[-0.1421367  -0.23584676],True
174,[ 0.05194787 -0.3         0.         -1.        ],[-0.15040166 -0.1949158 ],True,[-0.1421367  -0.23584676],True
175,[ 0.05194787 -0.3         0.         -1.        ],[-0.14981663 -0.19879022],True,[-0.1421367  -0.23584676],True
176,[ 0.05194787 -0.3         0.         -1.        ],[-0.14922993 -0.20266101],True,[-0.1421367  -0.23584676],True
177,[ 0.05194787 -0.3         0.         -1.        ],[-0.14864118 -0.20652902],True,[-0.1421367  -0.23584676],True
178,[ 0.05194787 -0.3         0.         -1.        ],[-0.14805017 -0.21039493],True,[-0.1421367  -0.23584676],True
179,[ 0.05194787 -0.3         0.         -1.        ],[-0.14745684 -0.21425926],True,[-0.1421367  -0.23584676],True
180,[ 0.05194787 -0.3         0.         -1.        ],[-0.14686125 -0.21812239],True,[-0.1421367  -0.23584676],True
181,[ 0.05194787 -0.3         0.         -1.        ],[-0.14626352 -0.22198456],True,[-0.1421367  -0.23584676],True
182,[ 0  0  0 -1],[-0.14596114 -0.22424369],True,[-0.1421367  -0.23584676],True
183,[ 0  0  0 -1],[-0.14591294 -0.22530939],True,[-0.1421367  -0.23584676],True
184,[ 0  0  0 -1],[-0.14593299 -0.22605203],True,[-0.1421367  -0.23584676],True
185,[ 0  0  0 -1],[-0.14599264 -0.22657069],True,[-0.1421367  -0.23584676],True
186,[ 0  0  0 -1],[-0.14606881 -0.22689885],True,[-0.1421367  -0.23584676],True
187,[ 0  0  0 -1],[-0.14612603 -0.22711579],True,[-0.1421367  -0.23584676],True
188,[ 0  0  0 -1],[-0.14616409 -0.22726835],True,[-0.1421367  -0.23584676],True
189,[ 0  0  0 -1],[-0.14619288 -0.22737437],True,[-0.1421367  -0.23584676],True
190,[ 0  0  0 -1],[-0.14621226 -0.22745109],True,[-0.1421367  -0.23584676],True
191,[ 0  0  0 -1],[-0.14622211 -0.22751173],True,[-0.1421367  -0.23584676],True
192,[ 0  0  0 -1],[-0.14622194 -0.22756298],True,[-0.1421367  -0.23584676],True
193,[ 0  0  0 -1],[-0.14622443 -0.22760474],True,[-0.1421367  -0.23584676],True
194,[ 0  0  0 -1],[-0.14623309 -0.22764089],True,[-0.1421367  -0.23584676],True
195,[ 0  0  0 -1],[-0.14624541 -0.22767535],True,[-0.1421367  -0.23584676],True
196,[ 0  0  0 -1],[-0.14626034 -0.22770997],True,[-0.1421367  -0.23584676],True
197,[ 0  0  0 -1],[-0.14627722 -0.2277454 ],True,[-0.1421367  -0.23584676],True
198,[ 0  0  0 -1],[-0.14629481 -0.22778039],True,[-0.1421367  -0.23584676],True
199,[ 0  0  0 -1],[-0.14631229 -0.22781378],True,[-0.1421367  -0.23584676],True
200,[ 0  0  0 -1],[-0.14632931 -0.22784516],True,[-0.1421367  -0.23584676],True
201,[ 0  0  0 -1],[-0.14634573 -0.22787448],True,[-0.1421367  -0.23584676],True
202,[ 0  0  0 -1],[-0.14636152 -0.22790181],True,[-0.1421367  -0.23584676],True
203,[ 0.08527416  0.3         0.         -1.        ],[-0.14588395 -0.22630976],False,[-0.1421367  -0.23584676],True
204,[ 0.08527416  0.3         0.         -1.        ],[-0.14503384 -0.22342691],False,[-0.1421367  -0.23584676],True
205,[ 0.08527416  0.3         0.         -1.        ],[-0.14412744 -0.22020331],False,[-0.1421367  -0.23584676],True
206,[ 0.08527416  0.3         0.         -1.        ],[-0.14320256 -0.21677409],False,[-0.1421367  -0.23584676],True
207,[ 0.08527416  0.3         0.         -1.        ],[-0.14226566 -0.2131847 ],False,[-0.1421367  -0.23584676],True
208,[ 0.08527416  0.3         0.         -1.        ],[-0.14131597 -0.20947116],False,[-0.1421367  -0.23584676],True
209,[ 0.08527416  0.3         0.         -1.        ],[-0.14035107 -0.20566586],False,[-0.1421367  -0.23584676],True
210,[ 0.08527416  0.3         0.         -1.        ],[-0.13936848 -0.20179662],False,[-0.1421367  -0.23584676],True
211,[ 0.08527416  0.3         0.         -1.        ],[-0.13836642 -0.19788596],False,[-0.1421367  -0.23584676],True
212,[ 0.08527416  0.3         0.         -1.        ],[-0.13734401 -0.19395116],False,[-0.1421367  -0.23584676],True
213,[ 0.08527416  0.3         0.         -1.        ],[-0.13630133 -0.19000474],False,[-0.1421367  -0.23584676],True
214,[ 0.08527416  0.3         0.         -1.        ],[-0.13523935 -0.18605524],False,[-0.1421367  -0.23584676],True
215,[ 0.08527416  0.3         0.         -1.        ],[-0.13415973 -0.18210799],False,[-0.1421367  -0.23584676],False
216,[ 0.08527416  0.3         0.         -1.        ],[-0.13306464 -0.17816591],False,[-0.1421367  -0.23584676],False
217,[ 0.08527416  0.3         0.         -1.        ],[-0.13195648 -0.1742302 ],False,[-0.1421367  -0.23584676],False
