step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
58,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.1625421   0.00252215  0.95844049 -1.        ],[-1.66666864e-01 -5.91498470e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
59,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254245  0.00247687  0.95646741 -1.        ],[-1.66666867e-01 -6.01586953e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
60,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254322  0.00242983  0.95449402 -1.        ],[-1.66666871e-01 -6.11675435e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
61,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254418  0.00238526  0.95252049 -1.        ],[-1.66666874e-01 -6.21763918e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
62,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254616  0.00235617  0.95054679 -1.        ],[-1.66666877e-01 -6.31852401e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
63,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254973  0.00232806  0.94857261 -1.        ],[-1.66666881e-01 -6.41940884e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
64,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16255432  0.00229646  0.94659795 -1.        ],[-1.66666884e-01 -6.52029367e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
65,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16255947  0.00226293  0.94462295 -1.        ],[-1.66666887e-01 -6.62117850e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
66,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16256478  0.00222924  0.94264776 -1.        ],[-1.66666891e-01 -6.72206332e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
67,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.1625699   0.00219705  0.94067255 -1.        ],[-1.66666894e-01 -6.82294815e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
68,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16257451  0.00216785  0.93869746 -1.        ],[-1.66666897e-01 -6.92383298e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
69,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16257835  0.00214269  0.93672263 -1.        ],[-1.66666901e-01 -7.02471781e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
70,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.1625813   0.00211696  0.93474817 -1.        ],[-1.66666904e-01 -7.12560264e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
71,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16258347  0.00208868  0.93277408 -1.        ],[-1.66666908e-01 -7.22648746e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
72,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16258489  0.00205803  0.93080039 -1.        ],[-1.66666911e-01 -7.32737229e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
73,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16258556  0.00202518  0.92882707 -1.        ],[-1.66666914e-01 -7.42825712e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
74,[0 0 0 0 0 0 1],[-0.16272967  0.0019992   0.92769517  1.        ],[-1.66666918e-01 -7.52914195e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
75,[0 0 0 0 0 0 1],[-0.16317133  0.00198932  0.92722789  1.        ],[-1.66666921e-01 -7.63002678e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
76,[0 0 0 0 0 0 1],[-0.16367053  0.0019806   0.92689604  1.        ],[-1.66666924e-01 -7.73091160e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
