step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
41,"[ 0.01071429 -0.32142857 -0.00310729  0.          0.          0.
 -1.        ]",[0.03343365 0.19848399 1.01250952],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
42,"[ 0.0125     -0.32678571 -0.00439696  0.          0.          0.
 -1.        ]",[0.03393482 0.19451399 1.01282841],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
43,"[ 0.01071429 -0.33214286 -0.00535361  0.          0.          0.
 -1.        ]",[0.03435924 0.19044525 1.01305705],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
44,"[ 0.00357143 -0.33392857 -0.00603953  0.          0.          0.
 -1.        ]",[0.03467507 0.18630312 1.01322182],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
45,"[ 0.         -0.32678571 -0.00653385  0.          0.          0.
 -1.        ]",[0.03488921 0.18215431 1.01334087],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
46,[ 0.       -0.325    -0.006891  0.        0.        0.       -1.      ],[0.03503527 0.1780102  1.01341337],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
47,"[ 0.         -0.31428571 -0.0071085   0.          0.          0.
 -1.        ]",[0.03513203 0.17391007 1.01343846],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
48,"[ 0.         -0.31428571 -0.00718376  0.          0.          0.
 -1.        ]",[0.03518761 0.16983761 1.01342135],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
49,"[ 0.         -0.30714286 -0.00713244  0.          0.          0.
 -1.        ]",[0.03521067 0.16580449 1.01337338],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
50,"[ 0.         -0.30535714 -0.00698854  0.          0.          0.
 -1.        ]",[0.03520881 0.16181092 1.01330262],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
51,"[-0.00178571 -0.30892857 -0.00677625  0.          0.          0.
 -1.        ]",[0.03518093 0.15781717 1.01322121],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
52,"[-0.01964286 -0.30714286 -0.00653203  0.          0.          0.
 -1.        ]",[0.03504645 0.1538355  1.01315612],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
53,"[-0.03928571 -0.3125     -0.00633673  0.          0.          0.
 -1.        ]",[0.03474772 0.14985106 1.01314672],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
54,"[-0.03928571 -0.31964286 -0.00630853  0.          0.          0.
 -1.        ]",[0.03437343 0.14582683 1.01319012],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
55,"[-0.04821429 -0.32678571 -0.00643873  0.          0.          0.
 -1.        ]",[0.03393642 0.14174224 1.01325296],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
56,"[-0.0625     -0.34107143 -0.00662726  0.          0.          0.
 -1.        ]",[0.03338331 0.13755323 1.0133416 ],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
57,"[-0.07321429 -0.34107143 -0.00689318  0.          0.          0.
 -1.        ]",[0.03270909 0.13330265 1.01346193],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
58,"[-0.07321429 -0.33928571 -0.00725416  0.          0.          0.
 -1.        ]",[0.03197111 0.12903949 1.01359   ],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
59,"[-0.07857143 -0.3375     -0.00763838  0.          0.          0.
 -1.        ]",[0.03117156 0.12477173 1.01369977],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
60,"[-0.09464286 -0.33571429 -0.00796768  0.          0.          0.
 -1.        ]",[0.0302387  0.1205061  1.01380154],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
61,"[-0.09642857 -0.33035714 -0.00827299  0.          0.          0.
 -1.        ]",[0.02920693 0.11626741 1.01390447],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
62,"[-0.09464286 -0.3375     -0.0085818   0.          0.          0.
 -1.        ]",[0.02813486 0.11200326 1.01398353],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
63,"[-0.10357143 -0.33928571 -0.00881898  0.          0.          0.
 -1.        ]",[0.02698385 0.10770011 1.01403628],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
64,"[-0.12321429 -0.33928571 -0.00897724  0.          0.          0.
 -1.        ]",[0.02566767 0.10338548 1.01409137],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
65,"[-0.13928571 -0.33214286 -0.0091425   0.          0.          0.
 -1.        ]",[0.0241662  0.09910826 1.01417246],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
66,"[-0.14821429 -0.32857143 -0.00938578  0.          0.          0.
 -1.        ]",[0.02252032 0.09487751 1.01427049],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
67,"[-0.15714286 -0.32857143 -0.00967986  0.          0.          0.
 -1.        ]",[0.02076439 0.09068297 1.01438771],"[ 0.13693485 -0.04513561  0.852       0.          0.          0.
  1.        ]","[-0.0884537  -0.20856449  0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",False
