step,action,eef_pos,drawer_pos 
231,[0 0 0 0 0 0 1],[-0.13939299  0.01330713  1.0236206   1.        ],-0.0036928728782731103
232,[0 0 0 0 0 0 1],[-0.13939224  0.01328606  1.02362098  1.        ],-0.003713938866071966
233,[0 0 0 0 0 0 1],[-0.13939152  0.01326757  1.02362134  1.        ],-0.0037324277025004085
234,[0 0 0 0 0 0 1],[-0.13939085  0.01325116  1.02362168  1.        ],-0.003748838409811963
235,[0 0 0 0 0 0 1],[-0.1393902   0.01323677  1.02362202  1.        ],-0.003763225303321186
236,[0 0 0 0 0 0 1],[-0.13938959  0.01322421  1.02362234  1.        ],-0.003775785383706253
237,[0 0 0 0 0 0 1],[-0.13938902  0.01321326  1.02362265  1.        ],-0.003786740641773074
238,[0 0 0 0 0 0 1],[-0.13938847  0.01320372  1.02362294  1.        ],-0.0037962841335016997
239,[0 0 0 0 0 0 1],[-0.13938795  0.01319541  1.02362323  1.        ],-0.0038045856575572162
240,[0 0 0 0 0 0 1],[-0.13938745  0.01318821  1.0236235   1.        ],-0.003811794962423903
241,[0 0 0 0 0 0 1],[-0.13938698  0.01318196  1.02362376  1.        ],-0.0038180441652004692
